Size	Density	Value
10	0.0	0
10	0.1	0
10	0.2	0
10	0.3	0
10	0.4	0
10	0.5	0
10	0.6	0
10	0.7	0
10	0.8	0
10	0.9	67433
10	1.0	344085
20	0.0	0
20	0.1	0
20	0.2	0
20	0.3	0
20	0.4	0
20	0.5	0
20	0.6	0
20	0.7	0
20	0.8	5400
20	0.9	75507
20	1.0	409852
30	0.0	0
30	0.1	0
30	0.2	0
30	0.3	0
30	0.4	0
30	0.5	0
30	0.6	362
30	0.7	362
30	0.8	5986
30	0.9	77709
30	1.0	413829
40	0.0	0
40	0.1	0
40	0.2	0
40	0.3	0
40	0.4	0
40	0.5	0
40	0.6	362
40	0.7	362
40	0.8	5986
40	0.9	77831
40	1.0	414464
50	0.0	0
50	0.1	0
50	0.2	0
50	0.3	0
50	0.4	0
50	0.5	0
50	0.6	384
50	0.7	384
50	0.8	6008
50	0.9	77873
50	1.0	414676
60	0.0	0
60	0.1	0
60	0.2	0
60	0.3	0
60	0.4	0
60	0.5	25
60	0.6	409
60	0.7	409
60	0.8	6033
60	0.9	77922
60	1.0	414775
70	0.0	0
70	0.1	0
70	0.2	0
70	0.3	0
70	0.4	0
70	0.5	25
70	0.6	409
70	0.7	409
70	0.8	6041
70	0.9	77930
70	1.0	414827
80	0.0	0
80	0.1	0
80	0.2	0
80	0.3	0
80	0.4	0
80	0.5	25
80	0.6	409
80	0.7	409
80	0.8	6041
80	0.9	77933
80	1.0	414856
90	0.0	0
90	0.1	0
90	0.2	0
90	0.3	0
90	0.4	0
90	0.5	25
90	0.6	409
90	0.7	409
90	0.8	6041
90	0.9	77933
90	1.0	414876
100	0.0	0
100	0.1	0
100	0.2	0
100	0.3	0
100	0.4	0
100	0.5	25
100	0.6	409
100	0.7	409
100	0.8	6041
100	0.9	77933
100	1.0	414881
110	0.0	0
110	0.1	0
110	0.2	0
110	0.3	0
110	0.4	0
110	0.5	25
110	0.6	410
110	0.7	410
110	0.8	6043
110	0.9	77936
110	1.0	414885
120	0.0	0
120	0.1	0
120	0.2	0
120	0.3	0
120	0.4	0
120	0.5	25
120	0.6	410
120	0.7	410
120	0.8	6043
120	0.9	77937
120	1.0	414891
130	0.0	0
130	0.1	0
130	0.2	0
130	0.3	0
130	0.4	0
130	0.5	25
130	0.6	410
130	0.7	410
130	0.8	6043
130	0.9	77937
130	1.0	414891
