Size	Density	Value
5	0.0	0
5	0.05	0
5	0.1	0
5	0.15	0
5	0.2	0
5	0.25	0
5	0.3	0
5	0.35	0
5	0.4	0
5	0.45	0
5	0.5	0
5	0.55	0
5	0.6	0
5	0.65	0
5	0.7	0
5	0.75	0
5	0.8	0
5	0.85	0
5	0.9	0
5	0.95	0
5	1.0	197734
10	0.0	0
10	0.05	0
10	0.1	0
10	0.15	0
10	0.2	0
10	0.25	0
10	0.3	0
10	0.35	0
10	0.4	0
10	0.45	0
10	0.5	0
10	0.55	0
10	0.6	0
10	0.65	0
10	0.7	0
10	0.75	0
10	0.8	0
10	0.85	0
10	0.9	67433
10	0.95	67433
10	1.0	344085
15	0.0	0
15	0.05	0
15	0.1	0
15	0.15	0
15	0.2	0
15	0.25	0
15	0.3	0
15	0.35	0
15	0.4	0
15	0.45	0
15	0.5	0
15	0.55	0
15	0.6	0
15	0.65	0
15	0.7	0
15	0.75	5400
15	0.8	5400
15	0.85	5400
15	0.9	72833
15	0.95	72833
15	1.0	398532
20	0.0	0
20	0.05	0
20	0.1	0
20	0.15	0
20	0.2	0
20	0.25	0
20	0.3	0
20	0.35	0
20	0.4	0
20	0.45	0
20	0.5	0
20	0.55	0
20	0.6	0
20	0.65	0
20	0.7	0
20	0.75	5400
20	0.8	5400
20	0.85	5400
20	0.9	75507
20	0.95	75507
20	1.0	409852
25	0.0	0
25	0.05	0
25	0.1	0
25	0.15	0
25	0.2	0
25	0.25	0
25	0.3	0
25	0.35	0
25	0.4	0
25	0.45	0
25	0.5	0
25	0.55	0
25	0.6	362
25	0.65	362
25	0.7	362
25	0.75	5762
25	0.8	5762
25	0.85	7378
25	0.9	77485
25	0.95	77914
25	1.0	412825
30	0.0	0
30	0.05	0
30	0.1	0
30	0.15	0
30	0.2	0
30	0.25	0
30	0.3	0
30	0.35	0
30	0.4	0
30	0.45	0
30	0.5	0
30	0.55	0
30	0.6	362
30	0.65	362
30	0.7	362
30	0.75	5762
30	0.8	5986
30	0.85	7602
30	0.9	77709
30	0.95	78138
30	1.0	413829
35	0.0	0
35	0.05	0
35	0.1	0
35	0.15	0
35	0.2	0
35	0.25	0
35	0.3	0
35	0.35	0
35	0.4	0
35	0.45	0
35	0.5	0
35	0.55	0
35	0.6	362
35	0.65	362
35	0.7	362
35	0.75	5762
35	0.8	5986
35	0.85	7678
35	0.9	77785
35	0.95	78317
35	1.0	414223
40	0.0	0
40	0.05	0
40	0.1	0
40	0.15	0
40	0.2	0
40	0.25	0
40	0.3	0
40	0.35	0
40	0.4	0
40	0.45	0
40	0.5	0
40	0.55	0
40	0.6	362
40	0.65	362
40	0.7	362
40	0.75	5762
40	0.8	5986
40	0.85	7678
40	0.9	77831
40	0.95	78363
40	1.0	414464
45	0.0	0
45	0.05	0
45	0.1	0
45	0.15	0
45	0.2	0
45	0.25	0
45	0.3	0
45	0.35	0
45	0.4	0
45	0.45	0
45	0.5	0
45	0.55	0
45	0.6	362
45	0.65	362
45	0.7	362
45	0.75	5762
45	0.8	5986
45	0.85	7678
45	0.9	77831
45	0.95	78397
45	1.0	414582
50	0.0	0
50	0.05	0
50	0.1	0
50	0.15	0
50	0.2	0
50	0.25	0
50	0.3	0
50	0.35	0
50	0.4	0
50	0.45	0
50	0.5	0
50	0.55	22
50	0.6	384
50	0.65	384
50	0.7	384
50	0.75	5784
50	0.8	6008
50	0.85	7720
50	0.9	77873
50	0.95	78439
50	1.0	414676
55	0.0	0
55	0.05	0
55	0.1	0
55	0.15	0
55	0.2	0
55	0.25	0
55	0.3	0
55	0.35	0
55	0.4	0
55	0.45	12
55	0.5	12
55	0.55	34
55	0.6	396
55	0.65	396
55	0.7	396
55	0.75	5796
55	0.8	6020
55	0.85	7736
55	0.9	77896
55	0.95	78477
55	1.0	414728
60	0.0	0
60	0.05	0
60	0.1	0
60	0.15	0
60	0.2	0
60	0.25	0
60	0.3	0
60	0.35	0
60	0.4	0
60	0.45	12
60	0.5	25
60	0.55	47
60	0.6	409
60	0.65	409
60	0.7	409
60	0.75	5809
60	0.8	6033
60	0.85	7757
60	0.9	77922
60	0.95	78503
60	1.0	414775
65	0.0	0
65	0.05	0
65	0.1	0
65	0.15	0
65	0.2	0
65	0.25	0
65	0.3	0
65	0.35	0
65	0.4	0
65	0.45	12
65	0.5	25
65	0.55	47
65	0.6	409
65	0.65	409
65	0.7	409
65	0.75	5817
65	0.8	6041
65	0.85	7765
65	0.9	77930
65	0.95	78511
65	1.0	414811
70	0.0	0
70	0.05	0
70	0.1	0
70	0.15	0
70	0.2	0
70	0.25	0
70	0.3	0
70	0.35	0
70	0.4	0
70	0.45	12
70	0.5	25
70	0.55	47
70	0.6	409
70	0.65	409
70	0.7	409
70	0.75	5817
70	0.8	6041
70	0.85	7765
70	0.9	77930
70	0.95	78511
70	1.0	414827
75	0.0	0
75	0.05	0
75	0.1	0
75	0.15	0
75	0.2	0
75	0.25	0
75	0.3	0
75	0.35	0
75	0.4	0
75	0.45	12
75	0.5	25
75	0.55	47
75	0.6	409
75	0.65	409
75	0.7	409
75	0.75	5817
75	0.8	6041
75	0.85	7768
75	0.9	77933
75	0.95	78514
75	1.0	414846
80	0.0	0
80	0.05	0
80	0.1	0
80	0.15	0
80	0.2	0
80	0.25	0
80	0.3	0
80	0.35	0
80	0.4	0
80	0.45	12
80	0.5	25
80	0.55	47
80	0.6	409
80	0.65	409
80	0.7	409
80	0.75	5817
80	0.8	6041
80	0.85	7768
80	0.9	77933
80	0.95	78514
80	1.0	414856
85	0.0	0
85	0.05	0
85	0.1	0
85	0.15	0
85	0.2	0
85	0.25	0
85	0.3	0
85	0.35	0
85	0.4	0
85	0.45	12
85	0.5	25
85	0.55	47
85	0.6	409
85	0.65	409
85	0.7	409
85	0.75	5817
85	0.8	6041
85	0.85	7768
85	0.9	77933
85	0.95	78514
85	1.0	414872
90	0.0	0
90	0.05	0
90	0.1	0
90	0.15	0
90	0.2	0
90	0.25	0
90	0.3	0
90	0.35	0
90	0.4	0
90	0.45	12
90	0.5	25
90	0.55	47
90	0.6	409
90	0.65	409
90	0.7	409
